DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,06:00:00 03-Jul-2013,GPE,-34.50000000,18.15291977,2.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 03-Jul-2013,GPE,-34.50000000,18.15291977,0.000000,0.250000,Archive,34.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 03-Jul-2013,GPE,-34.50000000,18.15291977,22.500000,0.250000,Archive,43.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 04-Jul-2013,GPE,-34.50000000,18.15291977,0.000000,0.250000,Archive,43.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 04-Jul-2013,GPE,-34.50000000,18.15291977,1.500000,0.250000,Archive,43.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 04-Jul-2013,GPE,-34.50000000,18.15291977,29.000000,0.250000,Archive,39.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 04-Jul-2013,GPE,-34.50000000,18.59970093,14.500000,0.250000,Archive,39.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 05-Jul-2013,GPE,-34.50000000,18.59970093,14.500000,0.250000,Archive,39.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 05-Jul-2013,GPE,-34.50000000,18.59970093,37.000000,0.250000,Archive,40.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 05-Jul-2013,GPE,-34.50000000,18.59970093,16.000000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 05-Jul-2013,GPE,-34.50000000,18.59970093,12.000000,0.250000,Archive,40.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 06-Jul-2013,GPE,-34.50000000,18.59970093,19.500000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 06-Jul-2013,GPE,-34.50000000,18.59970093,26.500000,0.250000,Archive,43.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 06-Jul-2013,GPE,-34.50000000,18.59970093,15.500000,0.250000,Archive,43.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 06-Jul-2013,GPE,-34.50000000,18.71729088,12.000000,0.250000,Archive,41.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 07-Jul-2013,GPE,-34.50000000,18.71729088,10.000000,0.250000,Archive,43.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 07-Jul-2013,GPE,-34.00000000,19.09369087,33.000000,0.250000,Archive,39.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 07-Jul-2013,GPE,-34.00000000,19.09369087,32.500000,0.250000,Archive,40.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 07-Jul-2013,GPE,-33.00000000,18.43833923,22.000000,0.250000,Archive,42.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 08-Jul-2013,GPE,-33.00000000,18.43833923,0.500000,0.250000,Archive,42.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 08-Jul-2013,GPE,-33.00000000,18.53236008,1.000000,0.250000,Archive,10.500000,0.250000,Archive
