DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 29-Jul-2013,6,,,,100.000000,13.615279,13.525001,13.775001,4.250000,,,,13.53,0.25,4.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 29-Jul-2013,6,,,,100.000000,13.746390,13.575001,13.875001,7.250000,13.77,13.77,13.77,13.58,-0.25,7.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 29-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.781806,13.725000,13.875001,10.750000,,,,13.73,0.25,10.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 30-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.793612,13.575001,13.925001,12.250000,13.72,13.72,13.72,13.58,-0.25,12.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 30-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.526945,13.225000,13.775001,2.750000,13.49,13.49,13.49,13.23,-0.25,2.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 30-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.904445,13.675001,14.275001,14.750000,14.11,14.11,14.11,13.68,-0.25,14.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 30-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.924723,13.725000,14.175001,40.250000,,,,13.73,13.75,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 31-Jul-2013,6,GPE,-51.00000000,26.20122910,100.000000,13.961251,13.825001,14.225000,41.250000,,,,13.83,11.75,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 31-Jul-2013,6,GPE,-51.00000000,26.20122910,66.000000,13.850421,13.425001,14.075001,45.250000,,,,12.33,6.75,54.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 31-Jul-2013,6,GPE,-51.00000000,26.20122910,1.000000,13.683334,13.475000,14.025001,45.250000,,,,12.48,35.75,52.75
